Aliment,Calories,Fibres,Glucides,Gras,IG,CG,Proteines,Famille_regroupee
"Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie)",0.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
"Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)",0.0,0.0,0.0,0.0,50.0,0.0,0.0,Boissons
"Croissant ordinaire, artisanal",410.0,1.8,47.6,21.1,50.0,23.8,0.0,Produits sucrés
"Croissant au beurre, artisanal",418.0,2.5,45.7,22.6,50.0,22.8,0.0,Produits sucrés
"Croissant aux amandes, artisanal",444.0,3.7,35.9,29.1,50.0,18.0,0.0,Produits sucrés
"Pain au lait, artisanal",379.0,1.5,50.6,15.4,75.0,38.0,0.0,Produits sucrés
"Pain au lait, préemballé",359.0,1.8,52.2,12.3,75.0,39.2,0.0,Produits sucrés
"Pain au lait aux pépites de chocolat, préemballé",369.0,2.72,52.0,13.5,75.0,39.0,0.0,Produits sucrés
Pain aux raisins (viennoiserie),331.0,2.8,55.9,9.0,75.0,41.9,0.0,Produits sucrés
"Pain au chocolat feuilleté, artisanal",421.0,3.0,45.4,22.5,75.0,34.0,0.0,Produits sucrés
"Pain au chocolat, préemballé",423.0,3.0,46.8,22.3,75.0,35.1,0.0,Produits sucrés
"Brioche (ou briochettes) aux pépites de chocolat, préemballée",348.0,3.0,51.6,11.2,50.0,25.8,0.0,Produits sucrés
Brioche fourrée au chocolat,351.0,2.17,53.2,11.6,50.0,26.6,0.0,Produits sucrés
"Brioche fourrée aux fruits, préemballée",346.0,3.8,50.5,12.1,45.0,22.7,0.0,Produits sucrés
"Brioche fourrée créme pétissiére (type ""chinois""), préemballée",300.0,1.5,49.2,8.41,50.0,24.6,0.0,Produits sucrés
"Brioche, préemballée",354.0,2.2,52.7,11.8,50.0,26.4,0.0,Produits sucrés
"Brioche, sans précision",401.0,0.5,46.0,19.1,50.0,23.0,0.0,Produits sucrés
"Brioche, de boulangerie traditionnelle",374.0,3.0,49.2,14.7,50.0,24.6,0.0,Produits sucrés
"Couronne de Noél (Brioche) aux fruits confits, préemballée",355.0,1.35,53.3,12.3,45.0,24.0,0.0,Produits sucrés
"Brioche pur beurre, préemballée",366.0,1.1,51.6,14.0,50.0,25.8,0.0,Produits sucrés
"Focaccia, garnie",233.0,2.25,29.5,8.75,50.0,14.8,10.0,Plats préparés
"Fougasse, garnie",306.0,3.2,38.8,11.8,50.0,19.4,10.0,Plats préparés
"Tortilla souple (é garnir), é base de maés",313.0,2.8,54.7,5.8,50.0,27.4,7.0,Céréales
"Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé",321.0,2.3,25.6,18.4,0.0,0.0,10.0,Plats préparés
"Tortilla souple (é garnir), é base de blé",323.0,3.85,52.1,8.2,50.0,26.0,7.0,Céréales
Rillettes traditionnelles de porc,390.0,0.0,0.2,36.9,50.0,0.1,18.0,Produits animaux
Rillettes pur porc,414.0,0.5,0.13,38.3,50.0,0.1,18.0,Produits animaux
Rillettes de Tours,522.0,0.0,0.0,50.0,50.0,0.0,18.0,Produits animaux
Rillettes du Mans,420.0,0.21,4.7,37.6,50.0,2.4,18.0,Produits animaux
Rillettes pur oie,417.0,0.0,0.0,39.8,50.0,0.0,18.0,Produits animaux
Rillettes de canard,377.0,0.0,1.03,34.6,50.0,0.5,18.0,Produits animaux
Rillettes d'oie,364.0,0.0,0.99,33.4,50.0,0.5,18.0,Produits animaux
Rillettes de poulet,340.0,0.25,0.49,30.3,50.0,0.2,18.0,Produits animaux
"Rillettes de crabe, préemballées",192.0,3.5,3.5,13.6,50.0,1.8,18.0,Produits animaux
"Rillettes de poisson, préemballées",243.0,0.0,0.3,20.7,0.0,0.0,18.0,Produits animaux
"Rillettes de saumon, préemballées",237.0,1.6,2.0,18.4,50.0,1.0,18.0,Produits animaux
"Rillettes de thon, préemballées",199.0,1.4,1.65,13.8,50.0,0.8,18.0,Produits animaux
"Rillettes de maquereau, préemballées",246.0,0.0,1.0,22.0,50.0,0.5,18.0,Produits animaux
"Confit de canard, viande (cuisse), sans peau, réchauffé",195.0,0.0,0.0,7.4,0.0,0.0,18.0,Produits animaux
Confit de canard,273.0,0.4,0.15,18.8,50.0,0.1,18.0,Produits animaux
"Canard, magret fumé",364.0,0.0,0.55,30.5,50.0,0.3,18.0,Produits animaux
Confit de foie de porc,346.0,0.5,14.1,25.0,50.0,7.0,18.0,Produits animaux
Confit de foie de volaille,356.0,0.0,7.42,30.0,50.0,3.7,18.0,Produits animaux
Pété au poivre vert,358.0,0.0,1.45,34.6,50.0,0.7,18.0,Produits animaux
Pété au jambon,150.0,0.0,0.0,28.6,50.0,0.0,18.0,Produits animaux
Pété ou terrine de campagne,323.0,0.0,1.5,28.2,50.0,0.8,18.0,Produits animaux
Pété breton,363.0,0.5,2.88,34.0,50.0,1.4,18.0,Produits animaux
Terrine de canard,320.0,1.75,4.44,27.1,50.0,2.2,18.0,Produits animaux
Pété de lapin,247.0,0.0,0.00027,20.2,50.0,0.0,18.0,Produits animaux
Terrine de lapin,281.0,1.0,5.67,21.2,50.0,2.8,18.0,Produits animaux
Pété de gibier,284.0,0.5,4.0,23.0,50.0,2.0,18.0,Produits animaux
Pété ou terrine aux champignons (forestier),329.0,0.58,5.93,28.1,50.0,3.0,18.0,Produits animaux
"Terrine de poisson, préemballée",171.0,1.4,5.5,11.4,0.0,0.0,18.0,Produits animaux
"Terrine de fruits de mer, avec ou sans poisson, préemballée",188.0,1.3,6.5,14.0,45.0,2.9,18.0,Produits animaux
"Tarama, préemballé",534.0,0.74,3.19,54.8,50.0,1.6,18.0,Produits animaux
Terrine ou mousse de légumes,200.0,2.55,5.6,9.56,50.0,2.8,10.0,Plats préparés
Flan de légumes,200.0,2.3,4.13,18.6,50.0,2.1,10.0,Plats préparés
"Pété de foie de porc, supérieur",341.0,0.0,2.4,31.0,50.0,1.2,18.0,Produits animaux
Pété de foie de porc,355.0,0.2,2.91,33.3,50.0,1.5,18.0,Produits animaux
Mousse de foie de porc supérieure ou Créme de foie,322.0,0.72,10.3,26.1,50.0,5.2,18.0,Produits animaux
Mousse de foie de porc,287.0,0.75,3.39,24.9,50.0,1.7,18.0,Produits animaux
Mousse de canard,395.0,0.45,7.07,36.1,50.0,3.5,18.0,Produits animaux
Pété de foie de volaille,269.0,0.0,1.96,22.9,50.0,1.0,18.0,Produits animaux
"Foie gras, canard, entier, cuit",535.0,0.35,2.32,54.6,50.0,1.2,18.0,Produits animaux
"Foie gras, canard, bloc, sans morceaux",482.0,0.35,2.1,50.0,50.0,1.0,18.0,Produits animaux
"Foie gras, canard, bloc, 30% de morceaux",489.0,0.0,2.43,50.1,50.0,1.2,18.0,Produits animaux
"Foie gras, canard, bloc, 50% de morceaux",479.0,0.0,2.0,49.5,50.0,1.0,18.0,Produits animaux
Pété de foie d'oie,459.0,0.0,4.67,43.8,50.0,2.3,18.0,Produits animaux
"Foie gras de canard, cru",600.0,0.0,1.41,63.4,50.0,0.7,18.0,Produits animaux
"Foie gras, canard, bloc (aliment moyen)",489.0,0.0,2.43,50.1,50.0,1.2,18.0,Produits animaux
Pété (aliment moyen),325.0,0.29,4.61,27.9,50.0,2.3,18.0,Produits animaux
Galantine (aliment moyen),279.0,0.67,1.57,23.4,50.0,0.8,18.0,Produits animaux
Roulade de porc pistachée,258.0,1.2,0.7,20.2,50.0,0.4,18.0,Produits animaux
Oeuf au jambon en gelée,150.0,0.0,0.0,4.7,50.0,0.0,18.0,Produits animaux
Pété en croéte,292.0,1.5,22.9,17.1,50.0,11.4,18.0,Produits animaux
Jambon en croéte,193.0,1.1,17.8,7.0,50.0,8.9,18.0,Produits animaux
Fromage de téte,173.0,0.0,0.2,12.9,0.0,0.0,18.0,Produits animaux
Museau de porc vinaigrette,185.0,0.55,1.02,16.3,50.0,0.5,18.0,Produits animaux
Jambon persillé en gelée,152.0,0.0,0.48,7.9,50.0,0.2,18.0,Produits animaux
Museau de boeuf,151.0,0.0,0.0,5.17,50.0,0.0,18.0,Produits animaux
Andouille,211.0,0.0,0.3,15.1,50.0,0.2,18.0,Produits animaux
Andouille de Guéméné,234.0,0.0,0.0,18.0,50.0,0.0,18.0,Produits animaux
"Andouille, réchauffée é la poéle",271.0,1.0,0.0,20.0,50.0,0.0,18.0,Produits animaux
Andouille de Vire,238.0,0.0,0.0,18.0,50.0,0.0,18.0,Produits animaux
"Andouillette, é cuire",227.0,0.71,1.0,16.3,50.0,0.5,18.0,Produits animaux
"Andouillette, sautée/poélée",303.0,1.0,1.0,22.3,50.0,0.5,18.0,Produits animaux
"Andouillette de Troyes, é cuire",254.0,0.9,0.5,19.0,50.0,0.2,18.0,Produits animaux
Tripes é la mode de Caen,116.0,3.0,0.3,3.68,50.0,0.2,10.0,Plats préparés
"Tripes é la mode de Caen, préemballées",112.0,1.25,0.7,3.62,50.0,0.4,10.0,Plats préparés
Tripes é la tomate ou é la provenéale,94.1,3.0,0.6,3.2,15.0,0.1,10.0,Plats préparés
"Boudin noir, é cuire",313.0,1.42,4.5,27.1,50.0,2.2,18.0,Produits animaux
"Boudin noir, sauté/poélé",246.0,0.0,3.78,20.3,50.0,1.9,18.0,Produits animaux
"Boudin, sauté/poélé (aliment moyen)",246.0,0.0,4.02,19.4,50.0,2.0,18.0,Produits animaux
"Boudin antillais, é cuire",150.0,0.0,9.2,16.5,50.0,4.6,18.0,Produits animaux
"Boudin blanc, sauté/poélé",150.0,0.0,4.6,17.1,50.0,2.3,18.0,Produits animaux
"Boudin blanc, é cuire",150.0,0.0,0.0,21.0,50.0,0.0,18.0,Produits animaux
"Boudin blanc truffé, é cuire",227.0,1.4,4.8,17.8,50.0,2.4,18.0,Produits animaux
"Quenelle de veau, en sauce",165.0,1.39,15.6,9.5,50.0,7.8,18.0,Produits animaux
"Quenelle de volaille, crue",187.0,1.1,14.1,10.1,50.0,7.0,18.0,Produits animaux
"Quenelle de volaille, en sauce",138.0,1.2,10.3,8.92,50.0,5.2,18.0,Produits animaux
"Quenelle de poisson, en sauce",135.0,0.72,10.5,8.51,0.0,0.0,18.0,Produits animaux
"Quenelle de poisson, crue",245.0,2.15,23.6,12.7,0.0,0.0,18.0,Produits animaux
"Quenelle de poisson, cuite",150.0,0.0,0.0,13.1,0.0,0.0,18.0,Produits animaux
"Quenelle nature, crue",217.0,2.15,14.8,13.7,50.0,7.4,18.0,Produits animaux
"épeautre, cru",340.0,10.7,59.5,2.43,50.0,29.8,7.0,Céréales
"Blé de Khorasan, cru",337.0,11.1,59.5,2.13,50.0,29.8,7.0,Céréales
"Blé tendre entier ou froment, cru",350.0,5.0,0.0,0.0,50.0,0.0,7.0,Céréales
"Blé germé, cru",209.0,1.1,41.4,1.27,50.0,20.7,7.0,Céréales
"Blé dur entier, cru",340.0,11.0,62.4,2.24,50.0,31.2,7.0,Céréales
"Blé dur précuit, entier, cru",355.0,6.67,67.7,1.83,50.0,33.8,7.0,Céréales
"Blé dur précuit, grains entiers, cuit, non salé",147.0,3.8,27.4,0.9,50.0,13.7,7.0,Céréales
"Blé dur précuit cuisiné, en sachet micro-ondable",186.0,2.58,29.5,4.84,50.0,14.8,10.0,Plats préparés
"Blé dur précuit, grains entiers, cuisiné, é poéler",340.0,6.28,67.2,1.59,50.0,33.6,10.0,Plats préparés
"Nouilles asiatiques cuites, aromatisées",146.0,6.3,18.8,4.3,50.0,9.4,7.0,Céréales
"Pétes ou nouilles asiatiques au blé, cuites, nature, non salées",164.0,1.0,21.4,6.9,50.0,10.7,7.0,Céréales
"Riz blanc, cru",350.0,1.05,78.0,0.91,70.0,54.6,7.0,Céréales
"Riz blanc étuvé, cru",354.0,1.32,78.6,0.98,70.0,55.0,7.0,Céréales
"Riz complet, cru",349.0,5.0,71.4,2.8,70.0,50.0,7.0,Céréales
"Riz complet, cuit, non salé",157.0,2.3,32.6,1.0,70.0,22.8,7.0,Céréales
"Riz blanc, cuit, non salé",144.0,0.8,31.8,0.41,70.0,22.3,7.0,Céréales
"Riz blanc étuvé, cuit, non salé",146.0,1.1,31.7,0.56,70.0,22.2,7.0,Céréales
"Riz sauvage, cru",342.0,5.9,69.2,0.94,70.0,48.4,7.0,Céréales
"Riz rouge, cru",350.0,4.5,70.6,3.0,70.0,49.4,7.0,Céréales
"Riz rouge, cuit, non salé",141.0,4.0,28.2,0.69,70.0,19.7,7.0,Céréales
"Riz sauvage, cuit, non salé",101.0,1.8,19.7,0.34,70.0,13.8,7.0,Céréales
"Riz thaé ou basmati, cru",351.0,0.92,77.8,0.84,70.0,54.5,7.0,Céréales
"Riz thaé ou basmati, cuit, non salé",350.0,0.8,28.3,0.0,70.0,19.8,7.0,Céréales
"Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru",353.0,1.5,78.1,1.0,70.0,54.7,7.0,Céréales
"Riz thaé, cuit, non salé",142.0,1.1,30.5,0.7,70.0,21.4,7.0,Céréales
"Riz basmati, cuit, non salé",116.0,1.0,24.4,0.6,70.0,17.1,7.0,Céréales
"Maés entier, cru",346.0,5.7,67.2,3.7,50.0,33.6,7.0,Céréales
"Pop-corn ou Maés éclaté, é l'huile, salé",485.0,8.1,52.6,23.8,50.0,26.3,7.0,Céréales
"Pop-corn ou Maés éclaté, é l'air, non salé",417.0,12.8,60.0,12.3,50.0,30.0,7.0,Céréales
"Pop-corn ou Maés éclaté, au caramel",418.0,3.0,85.4,6.5,50.0,42.7,7.0,Céréales
"Avoine, crue",374.0,10.6,55.7,6.9,50.0,27.8,7.0,Céréales
"Flocons d'avoine, bouillis/cuits é l'eau",74.7,1.7,11.9,1.52,50.0,6.0,7.0,Céréales
"Orge entiére, crue",330.0,17.3,56.2,2.3,50.0,28.1,7.0,Céréales
"Orge perlée, crue",343.0,9.1,68.6,1.16,50.0,34.3,7.0,Céréales
"Orge perlée, bouilli/cuite é l'eau, non salée",118.0,3.8,24.4,0.44,50.0,12.2,7.0,Céréales
"Mil entier, cru",356.0,8.5,64.3,4.21,50.0,32.2,7.0,Céréales
"Mil, cuit, non salé",115.0,1.3,22.4,1.0,50.0,11.2,7.0,Céréales
"Quinoa, cru",354.0,7.0,58.1,6.07,50.0,29.0,7.0,Céréales
"Quinoa, bouilli/cuit é l'eau, non salé",148.0,3.8,27.9,1.1,50.0,14.0,7.0,Céréales
"Amarante, crue",365.0,6.7,58.6,7.02,50.0,29.3,7.0,Céréales
"Sorgho entier, cru",349.0,6.7,65.4,3.46,50.0,32.7,7.0,Céréales
"Sarrasin entier, cru",356.0,7.0,64.6,3.55,50.0,32.3,7.0,Céréales
"Seigle entier, cru",331.0,15.0,61.0,1.97,50.0,30.5,7.0,Céréales
Farine de chétaigne,50.0,12.6,70.4,3.43,50.0,35.2,1.0,Fruits et légumes
"Semoule de blé dur, crue",348.0,3.37,71.6,1.25,50.0,35.8,7.0,Céréales
"Semoule de blé dur, cuite, non salée",120.0,1.9,24.0,0.8,50.0,12.0,7.0,Céréales
"Mélange de céréales et légumineuses, cru",349.0,11.0,59.0,4.0,50.0,29.5,7.0,Céréales
"Polenta ou semoule de maés, précuite, séche",350.0,3.2,74.0,1.8,50.0,37.0,7.0,Céréales
"Polenta ou semoule de maés, cuite, non salée",77.5,1.6,16.9,0.3,50.0,8.4,7.0,Céréales
Son de blé,279.0,42.0,23.6,4.35,50.0,11.8,0.0,Aides culinaires
Son d'avoine,359.0,16.7,51.0,6.48,50.0,25.5,0.0,Aides culinaires
Son de maés,226.0,79.0,6.65,0.92,50.0,3.3,0.0,Aides culinaires
Son de riz,398.0,21.0,28.1,20.9,70.0,19.7,0.0,Aides culinaires
Son (aliment moyen),344.0,21.3,46.0,6.09,50.0,23.0,0.0,Aides culinaires
Germe de blé,368.0,16.3,35.1,9.5,50.0,17.6,0.0,Aides culinaires
"Graine de couscous (semoule de blé dur précuite), crue",360.0,4.33,72.7,1.45,50.0,36.4,7.0,Céréales
"Graine de couscous (semoule de blé dur précuite), cuite, non salée",156.0,2.3,31.0,1.0,50.0,15.5,7.0,Céréales
"Boulgour de blé, cru",348.0,9.57,66.8,1.71,50.0,33.4,7.0,Céréales
"Boulgour de blé, cuit, non salé",110.0,2.2,21.7,0.5,50.0,10.8,7.0,Céréales
"Pétes séches standard, crues",331.0,3.0,65.8,1.79,50.0,32.9,7.0,Céréales
"Pétes séches standard, cuites, non salées",125.0,1.9,25.0,0.55,50.0,12.5,7.0,Céréales
"Pétes fraéches, aux oeufs, crues",279.0,3.17,53.8,1.87,50.0,26.9,7.0,Céréales
"Pétes fraéches, aux oeufs, cuites, non salées",166.0,1.5,32.0,1.3,50.0,16.0,7.0,Céréales
"Pétes séches, aux oeufs, crues",377.0,3.15,68.0,4.72,50.0,34.0,7.0,Céréales
"Pétes séches, aux oeufs, cuites, non salées",132.0,2.0,23.0,2.0,50.0,11.5,7.0,Céréales
"Pétes séches, sans gluten, cuites, non salées",162.0,1.0,34.4,1.1,50.0,17.2,7.0,Céréales
"Pétes ou nouilles asiatiques au blé et aux oeufs, crues, nature",366.0,4.0,71.0,3.0,50.0,35.5,7.0,Céréales
"Pétes séches, au blé complet, crues",350.0,6.1,67.6,2.2,50.0,33.8,7.0,Céréales
"Pétes séches, au blé complet, cuites, non salées",127.0,3.3,23.4,0.9,50.0,11.7,7.0,Céréales
"Pétes séches, sans gluten, crues",354.0,1.22,79.0,1.24,50.0,39.5,7.0,Céréales
"Pétes, sans gluten, é base de riz et maés, cuites é l'eau, non salées",169.0,1.3,36.6,0.8,70.0,25.6,7.0,Céréales
"Pétes, sans gluten, é base de lentilles corail, cuites é l'eau, non salées",164.0,4.9,25.1,0.8,50.0,12.6,7.0,Céréales
"Vermicelle de riz, séche",363.0,1.2,80.5,1.0,70.0,56.4,7.0,Céréales
"Vermicelle de riz, cuite, non salée",89.1,0.5,20.1,0.5,70.0,14.1,7.0,Céréales
"Vermicelle de soja, séche",344.0,1.6,84.7,0.14,50.0,42.4,7.0,Céréales
"Vermicelle de soja, cuite, non salée",61.1,0.8,14.4,0.1,50.0,7.2,7.0,Céréales
Bagel (blé),257.0,5.0,50.5,1.6,70.0,35.4,7.0,Céréales
"Bagels, bagels",312.0,5.0,68.7,1.3,70.0,48.1,7.0,Céréales
Baguette (blanche),240.0,5.0,49.0,2.5,95.0,46.5,7.0,Céréales
Baguette (grains entiers),219.0,1.66,38.8,1.2,73.0,28.3,7.0,Céréales
Baguette de pain blanc,262.0,5.0,51.4,2.9,70.0,36.0,7.0,Céréales
Baguette française à base de farine de blé,179.0,5.0,33.4,2.4,70.0,23.4,7.0,Céréales
Beignets,452.0,0.33,51.0,25.0,75.0,38.3,7.0,Céréales
Biscotti (biscuits secs),358.0,5.0,50.0,15.0,70.0,35.0,7.0,Céréales
Biscuit,365.0,5.0,48.5,16.5,70.0,34.0,7.0,Céréales
Biscuits (pâtisseries),460.0,5.0,66.0,18.0,70.0,46.2,7.0,Céréales
"Biscuits au beurre (farine, beurre, sucre)",549.0,5.0,53.0,18.0,55.0,29.1,7.0,Céréales
Biscuits au riz,310.0,5.0,69.0,1.0,85.0,58.6,7.0,Céréales
"Biscuits sablés (farine intégrale, sans sucre)",398.0,5.0,43.0,23.0,40.0,17.2,7.0,Céréales
Biscuits à l&#039;avoine,437.0,5.0,71.8,14.4,55.0,39.5,7.0,Céréales
Brioche (pain),236.0,5.0,47.0,4.0,70.0,32.9,7.0,Céréales
"Cookies (farine de grains entiers, sans sucre)",273.0,5.0,46.8,5.6,50.0,23.4,7.0,Céréales
Cookies multigrains,429.0,5.0,65.1,17.9,51.0,33.2,7.0,Céréales
Craquelins,407.0,5.0,72.0,7.0,70.0,50.4,7.0,Céréales
Craquelins de seigle,336.0,5.0,70.0,1.0,64.0,44.8,7.0,Céréales
Croissant,287.0,5.0,31.0,14.0,70.0,21.7,7.0,Céréales
Crêpes,185.0,5.0,25.2,7.5,66.0,16.6,7.0,Céréales
Crêpes de sarrasin,215.0,5.0,9.0,25.6,40.0,3.6,7.0,Céréales
Galette,354.0,5.0,56.0,10.9,69.0,38.6,7.0,Céréales
Gaufres,433.0,5.0,72.4,14.2,75.0,54.3,7.0,Céréales
Gaufres au riz,374.0,5.0,81.7,3.3,64.0,52.3,7.0,Céréales
Gâteau de riz,387.0,5.0,82.0,2.8,85.0,69.7,7.0,Céréales
Paille,372.0,1.0,69.3,6.1,60.0,41.6,7.0,Céréales
Pain (flocons d&#039;avoine),226.0,5.0,40.8,3.2,47.0,19.2,7.0,Céréales
Pain au lait,243.0,5.0,49.8,2.1,60.0,29.9,7.0,Céréales
Pain au son,227.0,5.0,45.2,1.3,65.0,29.4,7.0,Céréales
Pain aux fruits,370.0,5.0,52.0,7.4,47.0,24.4,7.0,Céréales
Pain blanc sans gluten,129.0,5.0,15.6,5.8,90.0,14.0,7.0,Céréales
Pain complet,204.0,5.0,39.8,2.1,40.0,15.9,7.0,Céréales
Pain de blé,265.0,5.0,49.0,3.2,70.0,34.3,7.0,Céréales
"Pain de mie, blanc",285.0,5.0,52.5,3.9,75.0,39.4,7.0,Céréales
Pain de riz,306.0,5.0,68.6,0.7,70.0,48.0,7.0,Céréales
Pain de sarrasin,228.0,5.0,45.8,2.5,50.0,22.9,7.0,Céréales
Pain de seigle,259.0,5.0,48.0,3.3,65.0,31.2,7.0,Céréales
Pain de seigle noir,250.0,5.0,48.0,3.1,45.0,21.6,7.0,Céréales
Pain germé,204.0,0.5,36.4,3.1,35.0,12.7,7.0,Céréales
Pain à hamburger,279.0,5.0,49.4,4.3,61.0,30.1,7.0,Céréales
Pain à la citrouille,211.0,5.0,42.6,2.4,40.0,17.0,7.0,Céréales
Pain à la farine blanche,242.0,5.0,48.8,1.0,90.0,43.9,7.0,Céréales
Pain à la levure brune,250.0,1.69,40.0,3.0,65.0,26.0,7.0,Céréales
Pita,275.0,0.00092,56.0,1.2,57.0,31.9,7.0,Céréales
Pizza,266.0,5.0,33.0,10.0,60.0,19.8,7.0,Céréales
Produits de boulangerie (blé),201.0,5.0,37.7,1.4,90.0,33.9,7.0,Céréales
Sables,364.0,5.0,53.7,14.6,60.0,32.2,7.0,Céréales
Tarte aux bananes,95.0,5.0,36.4,10.3,47.0,17.1,1.2,Céréales
Bière,43.0,0.0,3.6,0.0,70.0,2.5,0.0,Boissons
"Boissons gazeuses (soda, cola)",38.0,0.0,10.0,0.0,60.0,6.0,0.0,Boissons
Boissons pour sportifs,16.0,0.0,3.9,0.0,75.0,2.9,0.0,Boissons
Chicorée,21.0,0.0,4.1,0.2,15.0,0.6,0.0,Boissons
Chicorée (boisson),11.0,0.0,2.8,0.0,40.0,1.1,0.0,Boissons
Cidre de pomme (brut),32.8,0.0,0.0,26.1,40.0,0.0,0.0,Boissons
Cidre sec,117.0,0.0,28.9,0.3,40.0,11.6,0.0,Boissons
Grains de café,2.0,0.0,0.3,0.0,50.0,0.1,0.0,Boissons
Jus d&#039;ananas (non sucré),56.0,0.0,13.6,0.1,50.0,6.8,0.0,Boissons
Jus d&#039;ananas (sans sucre),53.0,0.0,12.8,0.1,50.0,6.4,0.0,Boissons
Jus d&#039;orange (fraîchement pressé et sans sucre),37.0,0.0,10.6,0.3,45.0,4.8,1.1,Boissons
Jus de betterave rouge,42.0,0.0,0.0,9.9,64.0,0.0,0.0,Boissons
Jus de canneberge (non sucré),58.0,0.0,14.5,0.1,50.0,7.3,0.0,Boissons
Jus de canneberge (sans sucre),58.0,0.0,14.5,0.1,50.0,7.3,0.0,Boissons
Jus de carotte (non sucré),28.0,0.0,6.4,0.1,40.0,2.6,0.0,Boissons
Jus de citron (non sucré),16.0,0.0,3.0,0.1,20.0,0.6,0.0,Boissons
Jus de pamplemousse (non sucré),28.0,0.0,6.1,0.0,45.0,2.7,0.0,Boissons
Jus de pamplemousse (sans sucre),40.0,0.0,10.0,0.0,45.0,4.5,0.0,Boissons
Jus de poire,46.0,0.0,11.0,0.3,50.0,5.5,0.0,Boissons
Jus de pomme (non sucré),49.0,0.0,12.2,0.1,40.0,4.9,0.0,Boissons
Jus de pomme (sans sucre),47.0,0.0,11.3,0.14,50.0,5.7,0.0,Boissons
Jus de raisin (non sucré),60.0,0.0,15.4,0.0,45.0,6.9,0.0,Boissons
Jus de raisin (sans sucre),65.0,0.0,17.0,0.0,55.0,9.3,0.0,Boissons
Jus de tomate,17.0,0.0,4.2,0.1,35.0,1.5,0.0,Boissons
Poudre de cacao (sans sucre),358.0,0.0,21.8,11.6,20.0,4.4,0.0,Boissons
Sirop d&#039;agave),310.0,0.0,76.0,0.5,15.0,11.4,0.0,Boissons
du jus d&#039;orange,37.0,0.0,10.0,0.2,48.0,4.8,1.1,Boissons
jus de pomme,46.0,0.0,11.0,0.1,41.0,4.5,0.0,Boissons
Cheddar,402.0,0.0,1.3,33.0,0.0,0.0,20.0,Produits laitiers
Cottage cheese,103.0,0.0,2.7,4.5,30.0,0.8,20.0,Produits laitiers
Cottage cheese 9% gras,185.0,0.0,9.0,2.0,30.0,2.7,20.0,Produits laitiers
Crème,196.0,0.5,3.7,19.0,30.0,1.1,20.0,Produits laitiers
Crème (10%),118.0,2.6,4.4,10.0,25.0,1.1,20.0,Produits laitiers
Crème (18%),189.0,2.3,3.8,18.0,30.0,1.1,20.0,Produits laitiers
Crème (30%),296.0,3.2,3.7,30.0,33.0,1.2,20.0,Produits laitiers
Crème aigre,119.0,2.96,3.9,10.0,15.0,0.6,20.0,Produits laitiers
Crème de soja,500.0,5.8,64.4,25.5,20.0,12.9,20.0,Produits laitiers
Crème glacée,207.0,0.65,24.0,11.0,62.0,14.9,20.0,Produits laitiers
Crème glacée (avec fructose),391.0,2.55,27.0,26.5,35.0,9.4,20.0,Produits laitiers
Crème sure (20%),204.0,3.19,3.2,20.0,25.0,0.8,20.0,Produits laitiers
Crêpes Cottage Cheese,220.0,1.5,12.0,10.6,70.0,8.4,20.0,Produits laitiers
"Fromage (Mozzarella, fromage cottage pressé, etc,)",242.0,53.2,1.0,18.1,0.0,0.0,20.0,Produits laitiers
Fromage au tofu,73.0,14.1,4.2,0.6,15.0,0.6,20.0,Produits laitiers
Fromage blanc,340.0,0.0,23.0,10.0,45.0,10.3,20.0,Produits laitiers
Fromage cottage faible en gras,88.0,1.15,1.0,1.2,30.0,0.3,20.0,Produits laitiers
Fromage fondu,323.0,22.5,27.0,3.8,57.0,15.4,20.0,Produits laitiers
Fromage écrémé,71.0,7.15,1.3,0.0,30.0,0.4,20.0,Produits laitiers
Fromages Feta,264.0,1.0,4.1,21.0,30.0,1.2,20.0,Produits laitiers
"Glace (écrémé, vanille)",138.0,4.3,30.1,0.0,46.0,13.8,20.0,Produits laitiers
Glace au lait de soja,180.0,25.7,17.0,7.3,35.0,6.0,20.0,Produits laitiers
"Glace à la vanille (régulière, avec sucre)",207.0,7.5,24.0,11.0,60.0,14.4,20.0,Produits laitiers
Kéfir (1% de matières grasses),37.0,0.0,4.0,1.0,31.0,1.2,20.0,Produits laitiers
Kéfir (régulier),56.0,0.0,4.0,3.2,36.0,1.4,20.0,Produits laitiers
Kéfir faible en gras,30.0,26.2,0.1,3.8,25.0,0.0,20.0,Produits laitiers
Lait,53.0,4.5,5.0,2.5,31.0,1.6,20.0,Produits laitiers
Lait au chocolat,88.0,9.45,10.9,3.6,34.0,3.7,20.0,Produits laitiers
Lait d&#039;amande,51.0,29.7,13.0,53.7,30.0,3.9,20.0,Produits laitiers
Lait d&#039;avoine (cru),48.0,53.1,5.1,2.8,69.0,3.5,20.0,Produits laitiers
Lait de chèvre,69.0,41.9,4.4,4.1,24.0,1.1,20.0,Produits laitiers
Lait de coco,197.0,7.4,2.8,21.3,40.0,1.1,20.0,Produits laitiers
